TaskID,Instructions,Memory_MB,Input_MB,Output_MB
Task_1,991,161,15,104
Task_2,2979,635,50,179
Task_3,2998,371,153,41
Task_4,1726,522,25,157
Task_5,2550,77,140,142
Task_6,1229,782,35,137
Task_7,2242,1016,134,133
Task_8,2661,1021,82,40
Task_9,920,226,146,168
Task_10,597,403,13,69
Task_11,1893,834,150,129
Task_12,2933,857,53,176
Task_13,1266,1009,88,75
Task_14,753,668,130,22
Task_15,678,126,36,191
Task_16,978,479,122,103
Task_17,920,976,108,68
Task_18,2715,450,183,123
Task_19,846,677,200,59
Task_20,2263,195,116,49
Task_21,2228,660,34,159
Task_22,1493,632,184,171
Task_23,736,413,152,152
Task_24,2285,363,91,191
Task_25,1019,489,163,98
Task_26,1076,545,70,111
Task_27,2403,683,152,45
Task_28,2161,191,79,184
Task_29,1152,160,86,82
Task_30,1229,623,60,183
Task_31,2834,662,82,72
Task_32,1825,189,61,56
Task_33,1736,517,137,115
Task_34,1824,93,147,24
Task_35,1061,248,119,187
Task_36,2239,198,56,15
Task_37,2503,1015,30,58
Task_38,1697,719,41,153
Task_39,2189,162,106,183
Task_40,1683,844,183,129
Task_41,1430,261,19,172
Task_42,2723,985,40,93
Task_43,608,422,63,186
Task_44,2505,537,74,34
Task_45,2585,862,149,77
Task_46,1110,269,82,190
Task_47,980,236,64,25
Task_48,870,424,77,115
Task_49,781,294,131,147
Task_50,1608,534,114,164
Task_51,1710,560,183,112
Task_52,940,364,117,197
Task_53,1032,818,99,184
Task_54,1633,993,190,65
Task_55,1998,433,59,160
Task_56,984,1024,142,60
Task_57,1892,819,58,28
Task_58,1009,295,119,49
Task_59,2243,816,186,21
Task_60,2871,440,172,98
Task_61,657,664,39,113
Task_62,1798,68,43,129
Task_63,1297,275,176,140
Task_64,2435,476,183,78
Task_65,2029,1005,17,78
Task_66,1469,1019,171,79
Task_67,2910,433,171,101
Task_68,2163,394,38,61
Task_69,700,350,94,126
Task_70,1341,337,27,152
Task_71,2360,698,58,13
Task_72,1224,1008,22,43
Task_73,1987,175,29,97
Task_74,1050,472,125,58
Task_75,573,281,56,188
Task_76,1735,931,190,24
Task_77,941,389,61,19
Task_78,1007,695,146,31
Task_79,1761,477,150,101
Task_80,1322,404,110,130
Task_81,1583,669,56,85
Task_82,1046,499,85,107
Task_83,1865,594,18,173
Task_84,880,65,48,70
Task_85,1689,548,45,183
Task_86,2282,985,74,28
Task_87,1339,606,79,17
Task_88,2571,989,15,82
Task_89,2271,274,40,62
Task_90,2858,725,123,139
Task_91,2051,294,159,47
Task_92,1923,431,75,61
Task_93,2169,704,19,61
