TaskID,Instructions,Memory_MB,Input_MB,Output_MB,IO_MB_Total,Inst_per_MB,Predicted_Cost
Task_1,991,161,15,104,119,6.117283950617284,22.26386345001228
Task_2,2979,635,50,179,229,4.683962264150943,56.9917230130026
Task_3,2998,371,153,41,194,8.059139784946236,55.18833100867571
Task_4,1726,522,25,157,182,3.30019120458891,36.2262410618623
Task_5,2550,77,140,142,282,32.69230769230769,47.3155344312737
Task_6,1229,782,35,137,172,1.5696040868454662,29.14741059246717
Task_7,2242,1016,134,133,267,2.2045231071779745,46.425995985666624
Task_8,2661,1021,82,40,122,2.6037181996086107,51.25146943771359
Task_9,920,226,146,168,314,4.052863436123348,23.259855871838756
Task_10,597,403,13,69,82,1.4777227722772277,16.640671700751493
Task_11,1893,834,150,129,279,2.2670658682634732,40.37739606654321
Task_12,2933,857,53,176,229,3.4184149184149186,56.94062925616563
Task_13,1266,1009,88,75,163,1.2534653465346535,29.797283335342627
Task_14,753,668,130,22,152,1.1255605381165918,20.00483269053718
Task_15,678,126,36,191,227,5.338582677165355,18.343047119545446
Task_16,978,479,122,103,225,2.0375,24.49329999513756
Task_17,920,976,108,68,176,0.9416581371545547,24.28481211642222
Task_18,2715,450,183,123,306,6.019955654101995,52.28943627584272
Task_19,846,677,200,59,259,1.247787610619469,22.541527707499455
Task_20,2263,195,116,49,165,11.545918367346939,42.827039461271035
Task_21,2228,660,34,159,193,3.3706505295007565,44.82315724037443
Task_22,1493,632,184,171,355,2.358609794628752,33.81371307975766
Task_23,736,413,152,152,304,1.7777777777777777,20.87008079459761
Task_24,2285,363,91,191,282,6.277472527472527,45.23759855655965
Task_25,1019,489,163,98,261,2.0795918367346937,25.331981953792027
Task_26,1076,545,70,111,181,1.9706959706959708,26.02339604279167
Task_27,2403,683,152,45,197,3.513157894736842,46.7529762667719
Task_28,2161,191,79,184,263,11.255208333333334,42.625713813273975
Task_29,1152,160,86,82,168,7.15527950310559,25.19196066248337
Task_30,1229,623,60,183,243,1.9695512820512822,29.24517465840189
Task_31,2834,662,82,72,154,4.2745098039215685,53.466941736971876
Task_32,1825,189,61,56,117,9.605263157894736,35.698769593447196
Task_33,1736,517,137,115,252,3.3513513513513513,36.752743442227036
Task_34,1824,93,147,24,171,19.404255319148938,34.57726532503997
Task_35,1061,248,119,187,306,4.261044176706827,25.552684125978328
Task_36,2239,198,56,15,71,11.251256281407036,40.85716856872656
Task_37,2503,1015,30,58,88,2.463582677165354,48.614921820829956
Task_38,1697,719,41,153,194,2.3569444444444443,36.57770495916821
Task_39,2189,162,106,183,289,13.429447852760736,42.66482034179621
Task_40,1683,844,183,129,312,1.991715976331361,37.23003668032657
Task_41,1430,261,19,172,191,5.458015267175573,30.8673375508527
Task_42,2723,985,40,93,133,2.761663286004057,53.09532607930848
Task_43,608,422,63,186,249,1.4373522458628842,18.74635304048792
Task_44,2505,537,74,34,108,4.656133828996283,47.183815442806775
Task_45,2585,862,149,77,226,2.995365005793743,50.755354876481995
Task_46,1110,269,82,190,272,4.111111111111111,26.340479900555408
Task_47,980,236,64,25,89,4.135021097046414,21.636977643098177
Task_48,870,424,77,115,192,2.0470588235294116,22.605587143280825
Task_49,781,294,131,147,278,2.647457627118644,21.093149221811437
Task_50,1608,534,114,164,278,3.005607476635514,34.96904730136705
Task_51,1710,560,183,112,295,3.0481283422459895,36.66673528417227
Task_52,940,364,117,197,314,2.5753424657534247,24.067295105123176
Task_53,1032,818,99,184,283,1.26007326007326,26.680614359415298
Task_54,1633,993,190,65,255,1.6428571428571428,36.11526112316283
Task_55,1998,433,59,160,219,4.6036866359447,40.70262323579924
Task_56,984,1024,142,60,202,0.96,25.657420336641337
Task_57,1892,819,58,28,86,2.3073170731707315,37.98086791960268
Task_58,1009,295,119,49,168,3.4087837837837838,23.236921070841703
Task_59,2243,816,186,21,207,2.745410036719706,44.60792486368666
Task_60,2871,440,172,98,270,6.510204081632653,54.529945581388745
Task_61,657,664,39,113,152,0.98796992481203,19.15418167680293
Task_62,1798,68,43,129,172,26.057971014492754,34.96024286486136
Task_63,1297,275,176,140,316,4.699275362318841,29.3486087717001
Task_64,2435,476,183,78,261,5.10482180293501,47.375672635666994
Task_65,2029,1005,17,78,95,2.0168986083499005,41.38333106939411
Task_66,1469,1019,171,79,250,1.4401960784313725,33.673090071868195
Task_67,2910,433,171,101,272,6.7050691244239635,55.1341176622503
Task_68,2163,394,38,61,99,5.4759493670886075,41.34501457004299
Task_69,700,350,94,126,220,1.9943019943019944,19.78236882398897
Task_70,1341,337,27,152,179,3.967455621301775,29.511732567783294
Task_71,2360,698,58,13,71,3.376251788268956,44.393075527235645
Task_72,1224,1008,22,43,65,1.2130822596630326,27.675988018266157
Task_73,1987,175,29,97,126,11.289772727272727,38.161238989294354
Task_74,1050,472,125,58,183,2.219873150105708,24.65576797259828
Task_75,573,281,56,188,244,2.0319148936170213,17.828942189027842
Task_76,1735,931,190,24,214,1.861587982832618,36.9988582600105
Task_77,941,389,61,19,80,2.4128205128205127,21.238645563486354
Task_78,1007,695,146,31,177,1.4468390804597702,24.449017371392088
Task_79,1761,477,150,101,251,3.6841004184100417,36.99602677936234
Task_80,1322,404,110,130,240,3.2641975308641977,29.807307607645658
Task_81,1583,669,56,85,141,2.3626865671641792,33.947239679336015
Task_82,1046,499,85,107,192,2.092,25.537067637891713
Task_83,1865,594,18,173,191,3.134453781512605,38.82346004803881
Task_84,880,65,48,70,118,13.333333333333334,19.585372435251376
Task_85,1689,548,45,183,228,3.0765027322404372,36.09852722741524
Task_86,2282,985,74,28,102,2.314401622718053,44.98681800667608
Task_87,1339,606,79,17,96,2.2059308072487642,28.65196586290264
Task_88,2571,989,15,82,97,2.596969696969697,50.07758792791967
Task_89,2271,274,40,62,102,8.258181818181818,42.73551239010519
Task_90,2858,725,123,139,262,3.9366391184573004,55.261501251724304
Task_91,2051,294,159,47,206,6.952542372881356,40.00259931400411
Task_92,1923,431,75,61,136,4.451388888888889,38.2279966587323
Task_93,2169,704,19,61,80,3.076595744680851,42.1825225360082
Task_94,2071,615,136,52,188,3.362012987012987,41.5323901828478
Task_95,1863,959,187,84,271,1.940625,39.89534790897198
Task_96,1680,154,139,57,196,10.838709677419354,33.63659866223428
Task_97,1912,266,109,46,155,7.1610486891385765,37.17087206477098
Task_98,1096,758,113,52,165,1.4440052700922266,26.392764790709055
Task_99,1633,802,102,100,202,2.0336239103362392,35.768781647857516
Task_100,1162,909,104,87,191,1.2769230769230768,28.225599896348413
Task_101,2268,469,107,131,238,4.825531914893617,44.98126262144795
